INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,RECOVERY_BLOCK_ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,X15,X16,age_group,shooting_yearmon,shooting_year,year
80-11-040861,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,NA,NA,2011
80-11-049704,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40229,NULL,NULL,NULL,NA,NA,NA,NA,NA,2011
80-11-050567,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,40C,2011-06-29,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2011,2011,2011
80-11-050567,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,40C,2011-06-29,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2011,2011,2011
80-11-050567,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,40C,2011-06-29,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2011,2011,2011
80-11-105768,ROBBERY,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,9MM,2011-12-30,2900 BLOCK FERN VALLEY RD,LOUISVILLE,KY,40213,NULL,NULL,NULL,NA,NA,NA,Dec 2011,2011,2011
80-11-105768,ROBBERY,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,9MM,2011-12-30,2900 BLOCK FERN VALLEY RD,LOUISVILLE,KY,40213,NULL,NULL,NULL,NA,NA,NA,Dec 2011,2011,2011
80-11-105768,ROBBERY,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,9MM,2011-12-30,2900 BLOCK FERN VALLEY RD,LOUISVILLE,KY,40213,NULL,NULL,NULL,NA,NA,NA,Dec 2011,2011,2011
80-12-011215,NARCOTICS EQUIP,NULL,NA,RG 38,NA,2012-02-12,600 BLOCK W.JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Feb 2012,2012,2012
80-12-015045,INJURED PERSON REPORT,"PISTOL, REVOLVER",CHARTER ARMS CO,OFF DUTY,38C,2012-02-26,PARK RD,LOUISVILLE,KY,40229,NULL,NULL,NULL,NA,NA,NA,Feb 2012,2012,2012
80-12-039853,AGGRAVATED ASSAULT,NULL,ROHM,RG10S,NA,2012-05-20,3400 BLOCK BONAVENTURE BLVD,LOUISVILLE,KY,40219,NULL,NULL,NULL,NA,NA,NA,May 2012,2012,2012
80-12-047977,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNATIONAL,MODEL PT92,9MM,2012-06-17,100 BLOCK SPRING CREEK CT,WATTERSON_PARK,KY,40218,NULL,NULL,NULL,NA,NA,NA,Jun 2012,2012,2012
80-12-068393,WPNS LAW VIOLATION,"PISTOL, REVOLVER",HARRINGTON & RI,NA,NA,2012-08-28,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Aug 2012,2012,2012
80-12-068393,WPNS LAW VIOLATION,"PISTOL, REVOLVER",HARRINGTON & RI,NA,NA,2012-08-28,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Aug 2012,2012,2012
80-12-064876,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",JENNINGS FIREARMS,JENNINGS FIREAR,380C,2012-08-15,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Aug 2012,2012,2012
80-12-081184,BURGLARY,"PISTOL, SEMI-AUTOMATIC",BROWNING ARMS C,PISTOL BUCK MAR,22C,2012-10-19,1500 BLOCK ANNA LN,LOUISVILLE,KY,40216,NULL,NULL,NULL,NA,NA,NA,Oct 2012,2012,2012
80-12-089149,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",RUGER,P95,9MM,2012-11-08,600 BLOCK W. JEFFERSON,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Nov 2012,2012,2012
80-12-098766,WPNS LAW VIOLATION,"PISTOL, REVOLVER",RG INDUSTRIES,RG 40,NA,2012-12-14,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Dec 2012,2012,2012
80-12-093463,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40204,NULL,NULL,NULL,NA,NA,NA,NA,NA,2012
80-13-001185,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",RUGER,NA,9MM,2013-01-05,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jan 2013,2013,2013
80-13-011063,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40299,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-022877,AGGRAVATED ASSAULT,NULL,RUGER,HANDGUNS: P SER,NA,2013-04-02,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-022961,WPNS LAW VIOLATION,NULL,NA,VENCEDOR,NA,2013-04-03,6600 BLOCK STRAWBERRY LN,LOUISVILLE,KY,40214,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-022961,WPNS LAW VIOLATION,NULL,NA,VENCEDOR,NA,2013-04-03,6600 BLOCK STRAWBERRY LN,LOUISVILLE,KY,40214,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-025530,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",RUGER,HANDGUNS: P SER,9MM,2013-04-12,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-027342,ROBBERY,"SHOTGUN, PUMP ACTION",NA,NA,12GA,2013-04-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,NA,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-027342,ROBBERY,"SHOTGUN, PUMP ACTION",NA,NA,12GA,2013-04-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,NA,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-027342,ROBBERY,"SHOTGUN, PUMP ACTION",NA,NA,12GA,2013-04-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,NA,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-030963,DEATH INVESTIGATION,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40220,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-047072,BURGLARY,"SHOTGUN, PUMP ACTION","REMINGTON ARMS CO., INC.",SHOTGUN: MODEL,12GA,2013-06-26,1500 BLOCK FRANKFORT AVE,LOUISVILLE,KY,40206,NULL,NULL,NULL,NA,NA,NA,Jun 2013,2013,2013
80-13-051554,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40214,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-047072,BURGLARY,AIRGUN,ANSCHUTZ,J. G. ANSCHUTZ,177C,2013-06-26,1500 BLOCK FRANKFORT AVE,LOUISVILLE,KY,40206,NULL,NULL,NULL,NA,NA,NA,Jun 2013,2013,2013
80-13-062767,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,MIDDLETOWN,KY,40243,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-063315,NARCOTICS,NULL,"GLOCK, INC.",23GEN4,NA,2013-08-24,S 10TH ST / W BROADWAY,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,Aug 2013,2013,2013
80-13-063315,NARCOTICS,NULL,"GLOCK, INC.",23GEN4,NA,2013-08-24,S 10TH ST / W BROADWAY,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,Aug 2013,2013,2013
80-13-071475,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-071475,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-081413,NARCOTICS,"RIFLE, SEMI-AUTOMATIC",RUGER,RIFLE: MODEL 10,22C,2013-10-23,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Oct 2013,2013,2013
80-13-081413,NARCOTICS,"RIFLE, SEMI-AUTOMATIC",RUGER,RIFLE: MODEL 10,22C,2013-10-23,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Oct 2013,2013,2013
80-13-086963,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,NA,22C,2013-11-11,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Nov 2013,2013,2013
80-13-086963,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,NA,22C,2013-11-11,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Nov 2013,2013,2013
80-13-092696,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-098208,WPNS LAW VIOLATION,"PISTOL, REVOLVER",TAURUS INTERNATIONAL,357 MAGNUM,357C,2013-12-23,E BRECKINRIDGE ST / S FLOYD ST,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,Dec 2013,2013,2013
80-14-003340,ROBBERY,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,M&P 40,40C,2014-01-14,6200 BLOCK RIVERDALE RD,LOUISVILLE,KY,40272,NULL,NULL,NULL,NA,NA,NA,Jan 2014,2014,2014
80-14-003686,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 33 (357 S,357C,2014-01-15,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jan 2014,2014,2014
80-14-005262,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC","SPRINGFIELD ARMORY,GENESEO,IL",PISTOL: MODEL X,9MM,2014-01-21,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jan 2014,2014,2014
80-12-051794,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 17/17C (9,9MM,2012-07-02,3200 BLOCK UTAH AVE,LOUISVILLE,KY,40215,NULL,NULL,NULL,NA,NA,NA,Jul 2012,2012,2012
80-12-062895,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40258,NULL,NULL,NULL,NA,NA,NA,NA,NA,2012
80-12-064211,ROBBERY,"PISTOL, REVOLVER",SMITH & WESSON,NA,22C,2012-08-12,4200 BLOCK BROWNS LN,LOUISVILLE,KY,40220,NULL,NULL,NULL,NA,NA,NA,Aug 2012,2012,2012
80-12-064211,ROBBERY,"PISTOL, REVOLVER",SMITH & WESSON,NA,22C,2012-08-12,4200 BLOCK BROWNS LN,LOUISVILLE,KY,40220,NULL,NULL,NULL,NA,NA,NA,Aug 2012,2012,2012
80-12-064211,ROBBERY,"PISTOL, REVOLVER",SMITH & WESSON,NA,22C,2012-08-12,4200 BLOCK BROWNS LN,LOUISVILLE,KY,40220,NULL,NULL,NULL,NA,NA,NA,Aug 2012,2012,2012
80-12-069554,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,MIDDLETOWN,KY,40223,NULL,NULL,NULL,NA,NA,NA,NA,NA,2012
80-12-083042,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC","SPRINGFIELD ARMORY,GENESEO,IL",PISTOL: MODEL X,45C,2012-10-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Oct 2012,2012,2012
80-12-083042,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC","SPRINGFIELD ARMORY,GENESEO,IL",PISTOL: MODEL X,45C,2012-10-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Oct 2012,2012,2012
80-12-087467,JUSTIFIABLE HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40212,NULL,NULL,NULL,NA,NA,NA,NA,NA,2012
80-12-101205,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LYNDON,KY,40222,NULL,NULL,NULL,NA,NA,NA,NA,NA,2012
80-12-097484,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",SIG-SAUER,P230SL,9MM,2012-12-09,900 BLOCK E MAIN ST,LOUISVILLE,KY,40206,NULL,NULL,NULL,NA,NA,NA,Dec 2012,2012,2012
80-13-002748,AGGRAVATED ASSAULT,"RIFLE, SEMI-AUTOMATIC",CENTURY ARMS INTERNATIONAL,NA,762M,2013-01-12,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jan 2013,2013,2013
80-13-008948,ROBBERY,"PISTOL, SEMI-AUTOMATIC",HIPOINT,C9,9MM,2013-02-06,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Feb 2013,2013,2013
80-13-008948,ROBBERY,"PISTOL, SEMI-AUTOMATIC",HIPOINT,C9,9MM,2013-02-06,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Feb 2013,2013,2013
80-13-009797,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-009354,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 26 (9MM),9MM,2013-02-08,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Feb 2013,2013,2013
80-13-024220,INTIMIDATION,NULL,NA,NA,NA,2013-04-08,2100 BLOCK ASHCRAFT LN,WTWD,KY,40242,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-025043,ALL OTHER OFFENSES,"PISTOL, SEMI-AUTOMATIC",PHOENIX ARMS CO,HP22,22C,2013-04-10,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Apr 2013,2013,2013
80-13-029834,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40291,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-036748,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 27 (40 SW,40C,2013-05-21,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2013,2013,2013
80-13-038037,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",NA,NA,40C,2013-05-26,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2013,2013,2013
80-13-044814,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",RAVEN ARMS,P-25,25C,2013-06-18,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2013,2013,2013
80-13-044814,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",RAVEN ARMS,P-25,25C,2013-06-18,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jun 2013,2013,2013
80-13-045214,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40205,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-045214,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40205,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-044938,SUICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40220,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-050027,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 22/22C (4,40C,2013-07-07,800 BLOCK BARRET AVE,LOUISVILLE,KY,40204,NULL,NULL,NULL,NA,NA,NA,Jul 2013,2013,2013
80-13-051459,THEFT OTHER,"PISTOL, SEMI-AUTOMATIC","SPRINGFIELD ARMORY,GENESEO,IL",PISTOL: MODEL X,4570,2013-07-13,3700 BLOCK TARRAGON RD,LOUISVILLE,KY,40219,NULL,NULL,NULL,NA,NA,NA,Jul 2013,2013,2013
80-13-053491,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC",RUGER,HANDGUNS: P SER,9MM,2013-07-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jul 2013,2013,2013
80-14-015803,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",COBRA ENTERPRISES INC,PATROIT,380C,2014-03-05,3200 BLOCK MELODY ACRES LN,LOUISVILLE,KY,40216,BLACK,M,21,NA,NA,"(20,30]",Mar 2014,2014,2014
80-16-031279,WPNS LAW VIOLATION,NULL,NA,MP 25,NA,2016-04-28,S 39TH ST / W BROADWAY,LOUISVILLE,KY,40211,BLACK,M,16,NA,NA,"(10,20]",Apr 2016,2016,2016
80-14-045819,BURGLARY,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNATIONAL,NA,9MM,2014-06-22,1300 BLOCK S 2ND ST,LOUISVILLE,KY,40208,WHITE,M,43,NA,NA,"(40,50]",Jun 2014,2014,2014
80-15-085416,NARCOTICS,"PISTOL, SEMI-AUTOMATIC","ROCK ISLAND ARMORY INC. (GENESEO, IL)",NA,45C,2015-10-22,BLUE LICK RD / SOUTH PARK RD,LOUISVILLE,KY,40219,WHITE,M,23,NA,NA,"(20,30]",Oct 2015,2015,2015
80-15-006128,WPNS LAW VIOLATION,"PISTOL, REVOLVER","WEIHRAUCH, HERM",NONE,32C,2015-01-24,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,18,NA,NA,"(10,20]",Jan 2015,2015,2015
80-15-085077,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNATIONAL,NA,380C,2015-10-21,S 15TH ST / W JEFFERSON ST,LOUISVILLE,KY,40203,BLACK,M,25,NA,NA,"(20,30]",Oct 2015,2015,2015
80-16-029730,NARCOTICS,"SHOTGUN, PUMP ACTION",NA,NA,12GA,2016-04-10,2400 BLOCK SUMMERCREEK DR,LOUISVILLE,KY,40272,WHITE,M,19,NA,NA,"(10,20]",Apr 2016,2016,2016
80-15-056216,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT-24/7,9MM,2015-08-17,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,45,NA,NA,"(40,50]",Aug 2015,2015,2015
80-15-036375,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",INTRATEC,AB 10,9MM,2015-05-15,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,WHITE,M,25,NA,NA,"(20,30]",May 2015,2015,2015
80-14-071429,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",RUGER,NA,9MM,2014-09-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,20,NA,NA,"(10,20]",Sep 2014,2014,2014
80-15-007261,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC",NA,THUNDER,45C,2015-01-28,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,15,NA,NA,"(10,20]",Jan 2015,2015,2015
80-15-093276,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",SMITH & WESSON,NA,22C,2015-11-16,4900 BLOCK UNSELD BLVD,LOUISVILLE,KY,40218,NULL,M,NULL,NA,NA,NA,Nov 2015,2015,2015
80-15-018971,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNAT,MODEL PT92,9MM,2015-03-17,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,BLACK,M,18,NA,NA,"(10,20]",Mar 2015,2015,2015
80-15-020470,WPNS LAW VIOLATION,"PISTOL, REVOLVER",SMITH & WESSON,REVOLER: MODEL,38C,2015-03-22,3400 BLOCK TAYLOR BLVD,LOUISVILLE,KY,40215,BLACK,M,23,NA,NA,"(20,30]",Mar 2015,2015,2015
80-15-020470,WPNS LAW VIOLATION,"PISTOL, REVOLVER",SMITH & WESSON,REVOLER: MODEL,38C,2015-03-22,3400 BLOCK TAYLOR BLVD,LOUISVILLE,KY,40215,BLACK,M,23,NA,NA,"(20,30]",Mar 2015,2015,2015
80-14-090155,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNATIONAL,JUDGE,45C,2014-11-22,4700 BLOCK S 3RD ST,LOUISVILLE,KY,40214,WHITE,M,27,NA,NA,"(20,30]",Nov 2014,2014,2014
80-15-045301,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 22/22C (4,40C,2015-06-13,800 BLOCK BARRET AVE,LOUISVILLE,KY,40204,BLACK,M,35,NA,NA,"(30,40]",Jun 2015,2015,2015
80-15-072386,STOLEN PROPERTY,"PISTOL, REVOLVER",RUGER,NA,357C,2015-09-10,N 21ST ST / DUNCAN ST,LOUISVILLE,KY,40203,WHITE,M,26,NA,NA,"(20,30]",Sep 2015,2015,2015
80-14-017222,AGGRAVATED ASSAULT,NULL,NA,NA,NA,2014-03-11,800 BLOCK BARRET AVE,LOUISVILLE,KY,40204,WHITE,M,53,NA,NA,"(50,60]",Mar 2014,2014,2014
80-15-034440,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNATIONAL,TAURUS INTERNAT,9MM,2015-05-08,N 24TH ST / ROWAN ST,LOUISVILLE,KY,40212,WHITE,M,31,NA,NA,"(30,40]",May 2015,2015,2015
80-15-034440,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC",TAURUS INTERNATIONAL,TAURUS INTERNAT,9MM,2015-05-08,N 24TH ST / ROWAN ST,LOUISVILLE,KY,40212,WHITE,M,31,NA,NA,"(30,40]",May 2015,2015,2015
80-13-053491,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC",NA,NA,380C,2013-07-19,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jul 2013,2013,2013
80-13-055332,WPNS LAW VIOLATION,"PISTOL, REVOLVER",ROSSI - AMADEO ROSSI & CO,68,38C,2013-07-25,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jul 2013,2013,2013
80-13-056095,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-053365,STOLEN PROPERTY,"PISTOL, REVOLVER",SMITH & WESSON,REVOLER: MODEL,357C,2013-07-18,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jul 2013,2013,2013
80-13-060697,HOMICIDE,NULL,NULL,NULL,NULL,NA,NULL,LOUISVILLE,KY,40258,NULL,NULL,NULL,NA,NA,NA,NA,NA,2013
80-13-061281,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",HIPOINT,NA,45C,2013-08-14,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Aug 2013,2013,2013
80-13-089790,WPNS LAW VIOLATION,"PISTOL, REVOLVER","REXIO, S.R.L.",NA,38C,2013-11-21,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Nov 2013,2013,2013
80-13-098208,WPNS LAW VIOLATION,"PISTOL, REVOLVER",SMITH & WESSON,686-3,357C,2013-12-23,E BRECKINRIDGE ST / S FLOYD ST,LOUISVILLE,KY,40203,NULL,NULL,NULL,NA,NA,NA,Dec 2013,2013,2013
80-14-002664,FAMILY OFFENSES,"PISTOL, SEMI-AUTOMATIC",PHOENIX ARMS CO.,HP22A,22C,2014-01-12,S 32ND ST / GARLAND AVE,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,Jan 2014,2014,2014
80-14-002921,AGGRAVATED ASSAULT,NULL,"GLOCK, INC.",22,NA,2014-01-16,3600 BLOCK BLOCK GARLAND AVENUE,LOUISVILLE,KY,40211,NULL,NULL,NULL,NA,NA,NA,Jan 2014,2014,2014
80-14-011723,ROBBERY,"RIFLE, BOLT ACTION",SAVAGE ARMS INC,NA,3006,2014-02-17,6600 BLOCK OUTER LOOP,LOUISVILLE,KY,40228,NULL,NULL,NULL,NA,NA,NA,Feb 2014,2014,2014
80-14-011723,ROBBERY,"RIFLE, BOLT ACTION",SAVAGE ARMS INC,NA,3006,2014-02-17,6600 BLOCK OUTER LOOP,LOUISVILLE,KY,40228,NULL,NULL,NULL,NA,NA,NA,Feb 2014,2014,2014
80-14-011723,ROBBERY,"RIFLE, BOLT ACTION",SAVAGE ARMS INC,NA,3006,2014-02-17,6600 BLOCK OUTER LOOP,LOUISVILLE,KY,40228,NULL,NULL,NULL,NA,NA,NA,Feb 2014,2014,2014
80-14-014020,WPNS LAW VIOLATION,"PISTOL, SEMI-AUTOMATIC",JIMENEZ ARMS,SEE BRYCO,380C,2014-02-26,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Feb 2014,2014,2014
80-14-022911,AGGRAVATED ASSAULT,"PISTOL, SEMI-AUTOMATIC","GLOCK, INC.",MODEL 23/23C (4,40C,2014-04-02,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Apr 2014,2014,2014
80-14-005262,STOLEN PROPERTY,"PISTOL, SEMI-AUTOMATIC",PHOENIX ARMS CO.,HP MODELS,22C,2014-01-21,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,Jan 2014,2014,2014
80-14-030817,INTIMIDATION,"PISTOL, SEMI-AUTOMATIC",NA,NA,9MM,2014-05-01,600 BLOCK W JEFFERSON ST,LOUISVILLE,KY,40202,NULL,NULL,NULL,NA,NA,NA,May 2014,2014,2014
