CodesAndRegsPermitsID,PermitNumber,Contractor,Description,Category,CategoryName,WorkType,Permittype,Zoning,SquareFeet,PermitFee,ProjectCosts,Address,City,State,ZipCode,CouncilDistrict,IssueDate,Latitude,Longitude
2314,13BL1399,BALL HOMES INC,,2,Residential,Foundation,Building Permit,R4,454,50,17700,431 ARLINGTON MEADOWS DR,LOUISVILLE          ,KY,40023,19,6/19/2013 10:13,38.230538,-85.435912
2315,14EL3740,CARDINAL ELECTRIC SERVICE INC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,PRD,0,50,3000,1200 HELM PLACE LN,LOUISVILLE          ,KY,40299,20,4/1/2014 10:19,38.22618507,-85.4995499
2316,14BL1538,PRECISION BUILT HOMES INC,,2,Residential,New,Building Permit,R4,1949,146,110000,614 CHIEFTAIN DR,LOUISVILLE          ,KY,40118,13,3/3/2014 9:35,38.096749,-85.755026
2317,13EL3551,Mr. BARMORE ELECTRIC,,2,Residential,Condo - Patio Home,Electrical Permit,(R5A),0,50,2500,121 TRESLYN WAY,LOUISVILLE          ,KY,40245,19,8/6/2013 11:51,38.240806,-85.486726
2318,13EL3551,Mr. BARMORE ELECTRIC,,2,Residential,Condo - Patio Home,Electrical Permit,(R5A),0,100,2500,121 TRESLYN WAY,LOUISVILLE          ,KY,40245,19,8/6/2013 11:51,38.240806,-85.486726
2319,14EL5421,DON CLARK ELECTRIC SERVICES,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,TNZD,0,25,200,1314 S BROOK ST,LOUISVILLE          ,KY,40208,6,5/22/2014 9:44,38.231049,-85.75449
2320,14EL5421,DON CLARK ELECTRIC SERVICES,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,TNZD,0,50,200,1314 S BROOK ST,LOUISVILLE          ,KY,40208,6,5/22/2014 9:44,38.231049,-85.75449
2321,157690,IES Residential,,3,Multi-Family,New,Electrical Permit,C2,840,20,2000,639 E JEFFERSON ST,LOUISVILLE          ,KY,40202,4,5/4/2007 11:00,38.252166,-85.7415
2322,157690,IES Residential,,3,Multi-Family,New,Electrical Permit,C2,840,30,2000,639 E JEFFERSON ST,LOUISVILLE          ,KY,40202,4,5/4/2007 11:00,38.252166,-85.7415
2323,157690,IES Residential,,3,Multi-Family,New,Electrical Permit,C2,840,50,2000,639 E JEFFERSON ST,LOUISVILLE          ,KY,40202,4,5/4/2007 11:00,38.252166,-85.7415
2324,157690,IES Residential,,3,Multi-Family,New,Electrical Permit,C2,840,40,2000,639 E JEFFERSON ST,LOUISVILLE          ,KY,40202,4,5/4/2007 11:00,38.252166,-85.7415
2325,157690,IES Residential,,3,Multi-Family,New,Electrical Permit,C2,840,3,2000,639 E JEFFERSON ST,LOUISVILLE          ,KY,40202,4,5/4/2007 11:00,38.252166,-85.7415
2326,158805,HERITAGE ELECTRIC INC,,2,Residential,New,Electrical Permit,OTF,718,30,1000,300 IDLEWYLDE DR,LOUISVILLE          ,KY,40206,9,5/15/2007 11:13,38.258434,-85.700516
2327,158805,HERITAGE ELECTRIC INC,,2,Residential,New,Electrical Permit,OTF,718,30,1000,300 IDLEWYLDE DR,LOUISVILLE          ,KY,40206,9,5/15/2007 11:13,38.258434,-85.700516
2328,158805,HERITAGE ELECTRIC INC,,2,Residential,New,Electrical Permit,OTF,718,3,1000,300 IDLEWYLDE DR,LOUISVILLE          ,KY,40206,9,5/15/2007 11:13,38.258434,-85.700516
2329,158805,HERITAGE ELECTRIC INC,,2,Residential,New,Electrical Permit,OTF,718,130,1000,300 IDLEWYLDE DR,LOUISVILLE          ,KY,40206,9,5/15/2007 11:13,38.258434,-85.700516
2330,BL927314,VINCENT ABELL CONTRACTING  INC,,2,Residential,Addition,Building Permit,R4,656,50,30000,802 FOSSIL CREEK CT,LOUISVILLE          ,KY,40245,20,12/19/2014 11:56,38.228501,-85.489637
2331,BL925371,VINCENT ABELL CONTRACTING  INC,,2,Residential,Renovation - Alter - Repair,Building Permit,R4,2000,150,30000,802 FOSSIL CREEK CT,LOUISVILLE          ,KY,40245,20,12/3/2014 9:28,38.228501,-85.489637
2332,14BL2625,"UNITED CONSTRUCTION&DESIGN,LLC",,1,Commercial,Renovation - Alter - Repair,Building Permit,R7,1440,99,1100,1125 CEDAR CT,LOUISVILLE          ,KY,40203,4,5/15/2014 15:25,38.2539204,-85.7697146
2333,14BL2625,"UNITED CONSTRUCTION&DESIGN,LLC",,1,Commercial,Renovation - Alter - Repair,Building Permit,R7,1440,1,1100,1125 CEDAR CT,LOUISVILLE          ,KY,40203,4,5/15/2014 15:25,38.2539204,-85.7697146
2334,361768,ADVANCE ELECTRIC COMPANY,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,C1,0,50,800,435 S CAMPBELL ST,LOUISVILLE          ,KY,40204,4,5/10/2013 10:01,38.2494571,-85.7366145
2335,83079,SONITROL OF WESTERN KY LLC,,1,Commercial,New,Fire Detection Permit,C2,11500,30,2500,301 DELMONT AVE,LOUISVILLE          ,KY,40206,9,9/13/2005 10:28,38.262798,-85.714302
2336,BL939885,COTTONGIM ENTERPRISES INC,,1,Commercial,Renovation - Alter - Repair,Building Permit,M2,680,74,40000,1304 N ENGLISH STATION RD,LOUISVILLE          ,KY,40223,19,5/5/2015 11:42,38.2626747,-85.5163192
2337,349324,ELITE HOMES INC,,2,Residential,New,Building Permit,(R4),2596,1000,206853,128 WATERSTONE WAY,LOUISVILLE          ,KY,40245,19,12/12/2012 15:54,38.2335997,-85.4621183
2338,349324,ELITE HOMES INC,,2,Residential,New,Building Permit,(R4),2596,194,206853,128 WATERSTONE WAY,LOUISVILLE          ,KY,40245,19,12/12/2012 15:54,38.2335997,-85.4621183
2339,354086,FIREPLACE DISTRIBUTORS,,2,Residential,HVAC MANUFACTURED FIREPLACE,HVAC Permit,(R4),2596,35,1000,128 WATERSTONE WAY,LOUISVILLE          ,KY,40245,19,2/19/2013 9:45,38.2335997,-85.4621183
2340,350513,PROJECT HEATING,,2,Residential,New,HVAC Permit,(R4),2596,75,7200,128 WATERSTONE WAY,LOUISVILLE          ,KY,40245,19,1/4/2013 12:04,38.2335997,-85.4621183
2341,52866,TOTAL HOME CONSTRUCTION CO INC,,3,Multi-Family,New,Parking Lot Permit,PD,15595,37,1,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,1/31/2005 10:14,38.24168,-85.76107
2342,11386,HUSS ELECTRIC,,3,Multi-Family,Temporary Service Pole,Electrical Permit,PD,0,40,500,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,2/24/2004 13:47,38.24168,-85.76107
2343,14HV8684,RONNIE WALLACE HTG AC SERV,,2,Residential,Replacement,HVAC Permit,R6,0,75,2200,307 N 19TH ST,LOUISVILLE          ,KY,40203,5,8/1/2014 10:00,38.262336,-85.780567
2344,341778,joseph a HUTCHINS SOUTHEND ELECTRIC,,2,Residential,Emergency Repair,Electrical Permit,R6,0,50,50,509 S 20TH ST,LOUISVILLE          ,KY,40203,4,9/19/2012 8:08,38.253696,-85.784426
2345,14WR1283,O'ROURKE WRECKING CO,,2,Residential,"LT 3000 SqFt, LT 35 Ft Height",Wrecking Permit,R6,752,50,1,738 S 22ND ST,LOUISVILLE          ,KY,40211,6,11/19/2014 20:11,38.247804,-85.7889019
2346,14WR1215,O'ROURKE WRECKING CO,,2,Residential,"LT 3000 SqFt, LT 35 Ft Height",Wrecking Permit,R6,1040,60,0,722 S 22ND ST,LOUISVILLE          ,KY,40211,6,8/5/2014 13:57,38.248294,-85.788815
2347,WR924393,O'ROURKE WRECKING CO,,2,Residential,"LT 3000 SqFt, LT 35 Ft Height",Wrecking Permit,R6,660,50,0,816 S 22ND ST,LOUISVILLE          ,KY,40211,6,12/10/2014 13:13,38.246588,-85.789111
2348,14WR1100,O'ROURKE WRECKING CO,,2,Residential,"LT 3000 SqFt, LT 35 Ft Height",Wrecking Permit,R6,602,50,0,818 S 22ND ST,LOUISVILLE          ,KY,40211,6,8/14/2014 10:05,38.246525,-85.789129
2349,WR924548,O'ROURKE WRECKING CO,,2,Residential,"LT 3000 SqFt, LT 35 Ft Height",Wrecking Permit,C2,608,50,0,748 S 23RD ST,LOUISVILLE          ,KY,40211,6,1/20/2015 11:28,38.2475568,-85.7902033
2350,14EL1599,CARDINAL ELECTRIC SERVICE INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,50,2000,408 MERIDIAN AVE,NORBOURNE ESTATES   ,KY,40207,26,1/23/2014 9:35,38.244877,-85.647861
2351,14EL1599,CARDINAL ELECTRIC SERVICE INC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5,0,35,2000,408 MERIDIAN AVE,NORBOURNE ESTATES   ,KY,40207,26,1/23/2014 9:35,38.244877,-85.647861
2352,13HV6211,METRO 1 HEATING & COOLING,,2,Residential,Replacement,HVAC Permit,R5,0,75,2150,914 MINOMA AVE,LOUISVILLE          ,KY,40217,10,10/11/2013 14:58,38.217253,-85.735309
2353,355184,REALM CONSTRUCTION COMPANY INC,,1,Commercial,Renovation - Alter - Repair,Building Permit,(C3),41000,50,2000,425 W MUHAMMAD ALI BLVD,LOUISVILLE          ,KY,40202,4,3/4/2013 13:46,38.2514899,-85.758686
2354,EL935086,LANHAMS HEATING AC ELEC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,35,2400,1313 MCHENRY ST,LOUISVILLE          ,KY,40217,10,3/18/2015 12:42,38.2284389,-85.7384997
2355,EL935086,LANHAMS HEATING AC ELEC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,35,2400,1313 MCHENRY ST,LOUISVILLE          ,KY,40217,10,3/18/2015 12:42,38.2284389,-85.7384997
2356,EL935086,LANHAMS HEATING AC ELEC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,50,2400,1313 MCHENRY ST,LOUISVILLE          ,KY,40217,10,3/18/2015 12:42,38.2284389,-85.7384997
2357,14BL3271,KAST CONSTRUCTION,,2,Residential,Renovation - Alter - Repair,Building Permit,R5,612,50,37440,117 NORTHWESTERN PKY,LOUISVILLE          ,KY,40212,5,6/23/2014 14:22,38.267024,-85.824323
2358,13BL1530,HARROD CONTRACTORS,,2,Residential,Addition,Building Permit,R5,380,50,2200,245 NORBOURNE BLVD,ST MATTHEWS         ,KY,40207,26,7/25/2013 12:06,38.249185,-85.636595
2359,BL922332,NEW DIRECTION HOUSING CORP,,2,Residential,Renovation - Alter - Repair,Building Permit,R6,1938,145,50000,622 E OAK ST,LOUISVILLE          ,KY,40203,4,11/3/2014 14:46,38.233631,-85.744453
2360,BL922332,TAWANA HUGHES BUILDERS,,2,Residential,Renovation - Alter - Repair,Building Permit,R6,1938,145,50000,622 E OAK ST,LOUISVILLE          ,KY,40203,4,11/3/2014 14:46,38.233631,-85.744453
2361,HV930092,A & I HEATING & AIR,,2,Residential,Replacement,HVAC Permit,R6,0,75,5000,731 E OAK ST,LOUISVILLE          ,KY,40203,4,1/21/2015 10:26,38.233823,-85.741862
2362,13HV7057,VINSON HEATING AIR,,2,Residential,Replacement,HVAC Permit,R6,0,75,1000,843 S 26TH ST,LOUISVILLE          ,KY,40211,6,11/1/2013 13:20,38.246078,-85.79496
2363,EL934905,DCB CONSTRUCTION,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,50,1000,354 N 27TH ST,LOUISVILLE          ,KY,40212,5,3/17/2015 9:54,38.268092,-85.793925
2364,14EL8852,DERBYTOWN SERVICES LLC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,50,250,619 S 28TH ST,LOUISVILLE          ,KY,40211,5,9/3/2014 11:25,38.252455,-85.79743
2365,361324,CINRGY ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,50,3000,840 S 31ST ST,LOUISVILLE          ,KY,40211,1,5/7/2013 10:06,38.245789,-85.8041
2366,361324,CINRGY ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R6,0,35,3000,840 S 31ST ST,LOUISVILLE          ,KY,40211,1,5/7/2013 10:06,38.245789,-85.8041
2367,13HV1462,VINSON HEATING AIR,,2,Residential,Replacement,HVAC Permit,R6,0,75,6500,840 S 31ST ST,LOUISVILLE          ,KY,40211,1,6/7/2013 12:05,38.245789,-85.8041
2368,BL922759,HABITAT FOR HUMANITY OF METRO,,2,Residential,New,Building Permit,R6,1120,84,42000,744 S 32ND ST,LOUISVILLE          ,KY,40211,5,11/6/2014 11:49,38.248089,-85.806229
2369,13HV2954,BECHT HEATING COOLING INC,,2,Residential,Replacement,HVAC Permit,R5,0,75,4222,826 S 33RD ST,LOUISVILLE          ,KY,40211,5,7/11/2013 9:46,38.24683,-85.807802
2370,14HV6171,"ROBBINS HEATING & A/C CO., INC.",,2,Residential,Replacement,HVAC Permit,R6,0,75,1850,423 N 34TH ST,LOUISVILLE          ,KY,40212,5,6/6/2014 11:17,38.2670033,-85.8060757
2371,13HV4574,JACOBI HEATING COOLING,,2,Residential,Replacement,HVAC Permit,R5,0,75,2500,538 W EVELYN AVE,LOUISVILLE          ,KY,40215,15,8/20/2013 9:44,38.196429,-85.770127
2372,358660,KELLEY CONSTRUCTION INC,,1,Commercial,Addition,Building Permit,M3,462,55,700000,1200 STORY AVE,LOUISVILLE          ,KY,40206,4,4/16/2014 9:54,38.255032,-85.728073
2373,13BL6057,KELLEY CONSTRUCTION INC,,1,Commercial,Renovation - Alter - Repair,Building Permit,M3,1510,166,56000,1200 STORY AVE,LOUISVILLE          ,KY,40206,4,11/22/2013 13:41,38.255032,-85.728073
2374,13FS1111,SIMPLEX GRINNELL LP,,4,Industrial,Combo System Repair,Fire Suppression Permit,M3,0,268,324556,1200 STORY AVE,LOUISVILLE          ,KY,40206,4,8/19/2013 9:38,38.255032,-85.728073
2375,14SI1243,ANCHOR SIGN INC,,1,Commercial,On Premises Sign,Sign Permit,(C3),0,67,5400,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,6/16/2014 16:17,38.251076,-85.7574744
2376,13BL1799,BOSSE & MATTINGLY CONSTRUCTION,,1,Commercial,Renovation - Alter - Repair,Building Permit,(C3),1696080,1897,749000,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,9/9/2013 9:27,38.251076,-85.7574744
2377,BL919879,BOSSE & MATTINGLY CONSTRUCTION,,1,Commercial,Renovation - Alter - Repair,Building Permit,(C3),51634,6837,3001268,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,11/5/2014 10:44,38.251076,-85.7574744
2378,13BL1799,BOSSE & MATTINGLY CONSTRUCTION,,1,Commercial,Renovation - Alter - Repair,Building Permit,(C3),1696080,245,749000,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,9/9/2013 9:27,38.251076,-85.7574744
2379,EL916689,CARDINAL ELECTRIC SERVICE INC,,1,Commercial,Rewire Repair Add Wiring,Electrical Permit,(C3),0,50,1000,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,9/18/2014 9:20,38.251076,-85.7574744
2380,14BL3422,GYM & SWIM SUPPLY COMPANY,,1,Commercial,Pool,Building Permit,(C3),672,73,90000,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,8/28/2014 11:56,38.251076,-85.7574744
2381,SI927425,SHOWTIME SIGN COMPANY,,1,Commercial,On Premises Sign,Sign Permit,(C3),0,0,15000,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,1/27/2015 14:54,38.251076,-85.7574744
2382,SI927440,SHOWTIME SIGN COMPANY,,1,Commercial,On Premises Sign,Sign Permit,(C3),0,233,45000,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,3/9/2015 14:57,38.251076,-85.7574744
2383,SI927425,SHOWTIME SIGN COMPANY,,1,Commercial,On Premises Sign,Sign Permit,(C3),0,255,15000,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,1/27/2015 14:54,38.251076,-85.7574744
2384,RS932626,SIMPLEX GRINNELL LP,,1,Commercial,New,Range Hood Suppression,(C3),0,150,1000,501 S 4TH ST,LOUISVILLE          ,KY,40202,4,3/16/2015 12:37,38.251076,-85.7574744
2385,BL921811,"SULLIVAN & COZART, INC",,1,Commercial,Foundation,Building Permit,OR3,146,100,43000,235 ABRAHAM FLEXNER WAY,LOUISVILLE          ,KY,40202,4,11/5/2014 13:01,38.2493765,-85.7500838
2386,13HV6503,FOUR SEASONS HVAC,,2,Residential,Replacement,HVAC Permit,R4,0,75,3400,1249 COOPER AVE,LOUISVILLE          ,KY,40219,24,10/17/2013 13:22,38.121218,-85.67182
2387,HV941544,S&L SPECIALTY CONTRACTING,,2,Residential,Replacement,HVAC Permit,R5,0,155,9607,832 PACKARD AVE,PARKWAY VILLAGE     ,KY,40217,10,5/20/2015 8:55,38.2090869,-85.735781
2388,HV941542,S&L SPECIALTY CONTRACTING,,2,Residential,Replacement,HVAC Permit,R5,0,155,10124,825 PARKWAY DR,PARKWAY VILLAGE     ,KY,40217,10,5/20/2015 8:55,38.213073,-85.739944
2389,339941,PHASE 3 CONTRACTING LLC,,2,Residential,New,Building Permit,R6,2064,35,80000,1015 PAYNE ST,LOUISVILLE          ,KY,40204,4,8/31/2012 16:09,38.245972,-85.730049
2390,339941,PHASE 3 CONTRACTING LLC,,2,Residential,New,Building Permit,R6,2064,154,80000,1015 PAYNE ST,LOUISVILLE          ,KY,40204,4,8/31/2012 16:09,38.245972,-85.730049
2391,13HV2925,TYLER HEATING AC CO INC,,2,Residential,New,HVAC Permit,R6,0,75,2600,1220 PAYNE ST,LOUISVILLE          ,KY,40204,4,7/11/2013 12:06,38.2473219,-85.726322
2392,361665,NEW CIRCLE MECH,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R3,0,50,200,420 PENNINGTON LN,ROLLING FIELDS      ,KY,40207,7,5/10/2013 7:34,38.267136,-85.668959
2393,BL934603,BUENA VISTA CONSTRUCTION,,2,Residential,Addition,Building Permit,R5,266,50,4797,158 PENNSYLVANIA AVE,LOUISVILLE          ,KY,40206,9,3/16/2015 20:53,38.257955,-85.6833879
2394,HV941675,S&L SPECIALTY CONTRACTING,,2,Residential,Replacement,HVAC Permit,R5,0,105,2132,821 PERENNIAL DR,PARKWAY VILLAGE     ,KY,40217,10,5/20/2015 8:55,38.209887,-85.737446
2395,14BL2029,"FUSION BUILDERS, INC",,2,Residential,Addition,Building Permit,R5,3340,250,152000,216 PLEASANTVIEW AVE,LOUISVILLE          ,KY,40206,9,4/1/2014 9:37,38.250925,-85.684748
2396,14EL5261,A SCISNEY ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5A,0,50,1500,212 POPE ST,LOUISVILLE          ,KY,40206,9,5/16/2014 16:38,38.257688,-85.716502
2397,14EL5261,A SCISNEY ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,R5A,0,50,1500,212 POPE ST,LOUISVILLE          ,KY,40206,9,5/16/2014 16:38,38.257688,-85.716502
2398,326517,UNIFIED TECHNOLGIES LLC,,1,Commercial,New,Fire Detection Permit,C2,5081,150,3000,800 S PRESTON ST,LOUISVILLE          ,KY,40203,4,4/19/2012 13:24,38.242485,-85.748035
2399,353972,RICK JOHNSON,,2,Residential,Emergency Repair,Electrical Permit,R6,0,50,100,1131 RAMMERS AVE,LOUISVILLE          ,KY,40204,10,2/15/2013 8:14,38.233105,-85.7316139
2400,HV944047,BEST CHOICE HEATING & AIR LLC,,2,Residential,Replacement,HVAC Permit,R5,0,155,500,809 READING RD,PARKWAY VILLAGE     ,KY,40217,10,6/10/2015 11:39,38.211924,-85.739853
2401,HV941685,S&L SPECIALTY CONTRACTING,,2,Residential,Replacement,HVAC Permit,R5,0,155,9655,828 READING RD,PARKWAY VILLAGE     ,KY,40217,10,5/20/2015 8:55,38.212182,-85.738149
2402,74322,MIDLAND ELECTRIC,,1,Commercial,New,Electrical Permit,(C3),0,30,140000,222 E WITHERSPOON ST,LOUISVILLE          ,KY,40202,4,7/13/2005 12:34,38.257309,-85.748138
2403,74322,MIDLAND ELECTRIC,,1,Commercial,New,Electrical Permit,(C3),0,40,140000,222 E WITHERSPOON ST,LOUISVILLE          ,KY,40202,4,7/13/2005 12:34,38.257309,-85.748138
2404,74322,MIDLAND ELECTRIC,,1,Commercial,New,Electrical Permit,(C3),0,60,140000,222 E WITHERSPOON ST,LOUISVILLE          ,KY,40202,4,7/13/2005 12:34,38.257309,-85.748138
2405,74322,MIDLAND ELECTRIC,,1,Commercial,New,Electrical Permit,(C3),0,56,140000,222 E WITHERSPOON ST,LOUISVILLE          ,KY,40202,4,7/13/2005 12:34,38.257309,-85.748138
2406,185546,WAGNER ELECTRIC COMPANY INC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,3,5000,222 E WITHERSPOON ST,LOUISVILLE          ,KY,40202,4,1/18/2008 9:15,38.257309,-85.748138
2407,185546,WAGNER ELECTRIC COMPANY INC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,20,5000,222 E WITHERSPOON ST,LOUISVILLE          ,KY,40202,4,1/18/2008 9:15,38.257309,-85.748138
2408,185546,WAGNER ELECTRIC COMPANY INC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,40,5000,222 E WITHERSPOON ST,LOUISVILLE          ,KY,40202,4,1/18/2008 9:15,38.257309,-85.748138
2409,185546,WAGNER ELECTRIC COMPANY INC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,60,5000,222 E WITHERSPOON ST,LOUISVILLE          ,KY,40202,4,1/18/2008 9:15,38.257309,-85.748138
2410,362609,MIDLAND ELECTRIC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,50,500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,5/17/2013 14:55,38.2554274,-85.7466279
2411,362609,MIDLAND ELECTRIC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,25,500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,5/17/2013 14:55,38.2554274,-85.7466279
2412,362609,MIDLAND ELECTRIC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,25,500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,5/17/2013 14:55,38.2554274,-85.7466279
2413,362609,MIDLAND ELECTRIC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,50,500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,5/17/2013 14:55,38.2554274,-85.7466279
2414,199084,PROJECT HEATING,,3,Multi-Family,New,HVAC Permit,(C3),1340,30,3500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,6/12/2008 11:47,38.2554274,-85.7466279
2415,199084,PROJECT HEATING,,3,Multi-Family,New,HVAC Permit,(C3),1340,30,3500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,6/12/2008 11:47,38.2554274,-85.7466279
2416,199084,PROJECT HEATING,,3,Multi-Family,New,HVAC Permit,(C3),1340,3,3500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,6/12/2008 11:47,38.2554274,-85.7466279
2417,219859,PROJECT HEATING,,3,Multi-Family,New,HVAC Permit,(C3),1634,30,3500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,1/15/2009 14:28,38.2554274,-85.7466279
2418,219859,PROJECT HEATING,,3,Multi-Family,New,HVAC Permit,(C3),1634,30,3500,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,1/15/2009 14:28,38.2554274,-85.7466279
2419,198535,BOSSE & MATTINGLY CONSTRUCTION,,3,Multi-Family,New,Building Permit,(C3),1421,30,99470,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,6/9/2008 14:52,38.2554274,-85.7466279
2420,350780,MIDLAND ELECTRIC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,25,1000,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,1/4/2013 16:22,38.2554274,-85.7466279
2421,350780,MIDLAND ELECTRIC,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,50,1000,324 E MAIN ST,LOUISVILLE          ,KY,40202,4,1/4/2013 16:22,38.2554274,-85.7466279
2422,83493,TRAUD ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,30,1200,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,9/14/2005 14:15,38.24168,-85.76107
2423,83493,TRAUD ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,40,1200,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,9/14/2005 14:15,38.24168,-85.76107
2424,90348,TRAUD ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,30,200,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,11/4/2005 19:39,38.24168,-85.76107
2425,90348,TRAUD ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,40,200,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,11/4/2005 19:39,38.24168,-85.76107
2426,83494,TRAUD ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,30,1200,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,9/14/2005 14:15,38.24168,-85.76107
2427,83494,TRAUD ELECTRIC,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,40,1200,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,9/14/2005 14:15,38.24168,-85.76107
2428,194535,Carl C WINDHORST,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,40,1000,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,4/28/2008 16:13,38.24168,-85.76107
2429,172582,Carl C WINDHORST,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,40,1000,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,9/10/2007 11:04,38.24168,-85.76107
2430,172584,Carl C WINDHORST,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,40,1000,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,9/10/2007 11:04,38.24168,-85.76107
2431,194541,Carl C WINDHORST,,2,Residential,Rewire Repair Add Wiring,Electrical Permit,PD,0,40,1000,900 S 5TH ST,LOUISVILLE          ,KY,40203,6,4/28/2008 16:14,38.24168,-85.76107
2432,96755,BILL MUDD ELECTRIC COMPANY,,3,Multi-Family,Rewire Repair Add Wiring,Electrical Permit,(C3),0,20,500000,309 E MARKET ST,LOUISVILLE          ,KY,40202,4,2/16/2006 9:28,38.254299,-85.747685
2433,359473,WISSING CONTRACTING CO,,2,Residential,Addition,Building Permit,R5,1771,83,94000,115 RIDGEWAY AVE,ST MATTHEWS         ,KY,40207,9,4/18/2013 16:19,38.253473,-85.648617
2434,359473,WISSING CONTRACTING CO,,2,Residential,Addition,Building Permit,R5,1771,48,94000,115 RIDGEWAY AVE,ST MATTHEWS         ,KY,40207,9,4/18/2013 16:19,38.253473,-85.648617
2435,359530,WISSING CONTRACTING CO,,2,Residential,Addition,Building Permit,R5,480,52,12000,115 RIDGEWAY AVE,ST MATTHEWS         ,KY,40207,9,4/18/2013 16:19,38.253473,-85.648617
2436,13HV1372,PRUDENTIAL HEATING & AIR CONDI,,2,Residential,Replacement,HVAC Permit,R5,0,75,4000,115 RIDGEWAY AVE,ST MATTHEWS         ,KY,40207,9,7/8/2013 17:02,38.253473,-85.648617
2437,355200,LARRY ALLEN HEATING AIR,,2,Residential,New,HVAC Permit,R5,0,75,3050,801 S 36TH ST,LOUISVILLE          ,KY,40211,5,3/1/2013 8:13,38.247893,-85.810682
